"Id","ProductId","UserId","ProfileName","HelpfulnessNumerator","HelpfulnessDenominator","Score","Time","Summary","Text","sentiment"
407470,"B000084F04","A3AWCH1012QJBZ","Quixote",3,3,1,1320192000,"moths","Stay away from this product.  At first it seemed to be working really great. Then I noticed some movement in the litter bin  and I am not refering to BM) and discovered it had a nice colony of mealy worms. Eventually we had a moth problem throughout the house. Swheat scoop folks really didn't have a solution but also did not deny that the litter was the problem.","Negative"
13736,"B000AY9U20","A1E7WJ6971PZT","T. C. Miller",1,4,2,1167868800,"Dry Cookie Bits, and Bits and More Bits","These cookies were ok, just ok.  I may have been inclined to give them three stars had they arrived as whole cookies, every last cookies was broken.  I understand this is probably due to poor packaging.  The consistency was a bit grainy and dry though.  And milk did not help.  Next time I'll purchase a chewy brand or Mrs. Fields.","Negative"
415976,"B001TYAA92","ADQBDUL7Q40UD","Greenltrn",0,0,2,1314662400,"Where's the flavor","This stuff has great packaging. The product has barely and flavor at all. It is like drinking watered down Swiss MIss hot coco. I don't recommend it.","Negative"
38815,"B000EGZ9AG","A90PIH355UOW2","Max",1,2,1,1349913600,"BEWARE: Consumer Report fount Textmati Rice Contains Arsenic","Consumer Reports November 2012 issue found that most rice harvested in Texas.  Per the consumer report, this brand of rice was found to contain 4.2 to 7.6 micrograms of arsenic per 1/4 cup uncooked serving.  It is recommended that you consume no more than 1-2 servings of this rice per week.<br /><br />View the consumerreports.org for more information about issues with arsenic in rice from Texas.<br /><br />Bottom line:  DONT BUY THIS RICE.  Long grain brown rice from California, Thailand, and other areas typically do not contain arsenic.","Negative"
168878,"B001EQ5LOO","ALV0N23TCNLRH","jane",3,8,1,1283990400,"What a Mess- Don't Buy!!! All jars popped","The box arrived dripping with oil<br /><br />All the Jars had spewed thier contents- the seal had broken under the lid- I can only assume this happened as a consequence of an unpressurized cargo  hold in  flight.<br /><br />So- I wasted the entire amount I spent.<br /><br />Don't buy this!!!!!!!","Negative"
433093,"B000SATIE6","A2RRVOATBJZTPG","rosie7777",6,6,1,1333756800,"Wood Shavings","I enjoy rooibos tea very much and drink it all the time.  Usually loose tea is fresher and better tasting.  I was wrong.  This tastes like stale wood shavings.  I think this sat around in a warehouse for a while.  Odd that Amazon did not have this product in the ""leave feedback"" email I received.  I had to do a little search to leave this post.","Negative"
55808,"B000RUF8GY","A15ID3RKBO57RT","DJ A",5,5,1,1300147200,"Weed-B-Gon Does Not Work!","I bought the Weed-B-Gon because the old Weed & Feed is not available in any stores in my area.  Weed & Feed worked.  Weed-B-Gon DOES NOT WORK!  I've tried spaying my yard 3 times in the past 2 months, and it did not kill one single weed.  After 24 hours, the weeds are still there.  After 1 week, the weeds are still there.  After 2 months, the weeds are still there, healthy as ever!  Don't buy this bogus product!  Can i give less than one star rating?","Negative"
181502,"B007OSBEV0","#oc-R2H9Q62BAPDLIG","Robert Jarvis",2,5,1,1347148800,"Undrinkable","Ordered this product hoping I would get a true bold coffee out of my Keurig, this tasted like freeze dried coffee. My search continues!!","Negative"
214643,"B001KQAR24","A1ZFA2K0XXPJY1","ZQ",2,8,2,1231891200,"Tastes weird","I roasted it but it still tastes weird, in a bad way. I wouldn't buy this again. The quality of the product is good, hence the 2 stars, otherwise, I would have given it 1 star because I just wasted my money on this product.","Negative"
1148,"B001ELL7JM","A3IBGWP53XMJY5","C. DiAntonio",0,0,2,1337558400,"bland","I like the fact that this vanilla flavor has no alcohol in it so i could add it to my baby's pancakes.  It does not taste the same to me as the regular stuff.  It is rather bland in my opinion.","Negative"
351209,"B0030GT28C","A2I4CD46WHL5DX","Sun Rise",2,2,1,1293148800,"Low on the cocoa","This product is one of the more pricey K-cups--more expensive than coffee/tea. Unfortunately the flavor did not live up to my expectations. Taste and texture are watered down/dilute. Diet Swiss Miss tastes 10x better than this.","Negative"
74426,"B001BM3C0Q","A3KW8U52DHBD0E","M. Rodak",3,3,1,1288310400,"Not A Good Choice","Only one star because the chips had a rancid, old taste and smell. The chips were in date but the oil in the chips oxidized. Amazon fixed this problem with a refund.","Negative"
5427,"B00622CYVS","A3EPC08TVAPA0N","Krissia",0,3,1,1340582400,"Waste of time.","My baby loves this food.  At whole foods they sell the same flat for 10.99 and thats retail.  I ordered this and just received it today.  I hadn't even opened package and I could smell a rotten smell coming from box. I opened it to find jar smashed and mold everywhere! I'm so disgusted and can't believe I waited over a week for this to arrive.  What a waste of my time.  The worst part is I ordered the fruit flat as well and also a broken jar and rotten mold everywhere.  I don't get how this happens the  shipping box isn't dented or damaged neither is the flat box.  So what someone packaged and sent a smashed and rotting shipment? Not a happy customer!","Negative"
5491,"B00622CYVI","A3VXJ08OO2HX4Q","Chatty Mockingbird",2,6,1,1321488000,"Organic with BPA","There is BPA in the lids and company claims it doesn't touch the food so it's okey. Why do they even write ORGANIC 6 times around the lid? Not honest to their costumer. I wouldn't even give 1 star if l could.","Negative"
102173,"B001ELLB16","A1YPIV289JTYVU","Kathy ""ExpectingTwins""",0,9,1,1319760000,"Colavita Extra Virgin Olive Oil, 34-Ounce Tins (Pack of 2)","The respesentation of this item is extremely misleading. It is true that the description of the item includes the correct liquid weight however the image and price shown represents the larger actual size gallon product.<br /><br />Who would ever think this oil came in miniature tins replicating the larger gallon tins that is prevalent in the marketplace. The price of this product also coincides with what one would expect from the larger gallon sized product.","Negative"
37170,"B000BGXAFA","AVZEUCHHVC31H","Joan E. Painter ""mtwoman2""",1,3,1,1276646400,"bad price on miso","tastes great  but i found the same product at walmart for 1/2 the price.  really!!  UPDATE  I double checked on the price at walmart and for the same product same amount it costs $6.43 compared to $11 95 here.","Negative"
25054,"B0078Y6OX8","ATXDX08LIQLS","Lila B",0,0,1,1301184000,"Terrible waste of chocolate and raspberry flavors","I LOVE chocolate and adore raspberries (Godiva Dark Chocolate Raspberry Truffles were my idea of heaven).  This coffee has been a major disappointment.  I drink a lot of flavored coffees and decided to try this one due to the rave reviews and being a combo of two of my favorite flavors.<br /><br />I've gone through one box, and am either giving the second one away (if I can find someone to take it) or just pitching it.  The quality control on the flavorings is HORRIBLE.  One kcup will be actually almost pleasant (though the raspberry overtones *always* have a ""tinny"" aftertaste), and the next will be so strong in both scent and flavor that it is unbearable and gets dumped.<br /><br />If the flavor/strength of the chocolate and raspberry were consistent throughout, it would be two and a half stars.  As it stands, it's more of a waste of water and electricity.","Negative"
332138,"B001B13TUU","A32CE2KHVPOFWG","NotSteve",0,0,2,1343433600,"""Wasabi Coated Green Peas"" (not!)","There's a little truth-in-advertising problem here, as this product contains no wasabi. I know wasabi is expensive, and that horseradish tastes similar. And while the peas aren't the greatest, they're not too bad either. But I feel a little ripped-off. I wouldn't have a problem if the can said ""wasabi-flavored"", but it didn't. The maker obviously wants people to believe that the product is something it's not. I guess ""Horseradish Peas"" didn't pass muster with their marketing department.","Negative"
211009,"B001EO5Y52","A3R7R8ARVN2P3D","A. Kehoe Jr.",5,8,1,1305158400,"Worst Sumatran K-Cup of All","For reference, I have tried The Puck sumatran and the Diedrich. This Green Mountain sumatran was bitter and lifeless. It tasted stale and old, even though it was well within the sell-by date. For further reference, I also roast my own sumatran at home. I rate that a 10, starbucks would be a 9, the Puck k-cups would be an 8 as the best of the k-cups. I give this a flat 1. Very disappointing, will not purchase again. I wrote this about five minutes after finishing a cup, and I still have a terrible, bitter aftertaste. A true sumatran will have an earthy, almost tangy flavor, but with no bitterness. I would say they used coffee beans that had been sitting around for a while.","Negative"
209827,"B0000DJ89V","ABIVFEOB4C7YK","lola",4,5,1,1202860800,"Like garlic?","We have had Omaha Steak products for years.<br />We have had stuffed sole (crab and shrimp) that was very nice and convenient.<br />This was awful. Not worth tasting. All we could taste was garlic. It was very buttery(?) on the outside and alittle rubbery.<br />Left a terrible, overwhelming after taste.<br />We will not even ask for a replacement, which Omaha is not very good at doing anyway.","Negative"
201859,"B004XZHO70","A3FG0FQHNV2UP2","E. A. Montgomery",0,0,2,1326758400,"Very Thick, Average Taste","Purchased this locally based on the Guittard brand. 25% of the household likes it, the rest didn't care for it. Very thick, not a pleasing chocolate taste or feel. We eat everything from Pierre Marcolini to Hershey so it's rare for a chocolate item to displease so many of us.","Negative"
133125,"B0090X8IPM","A25C5MVVCIYT5D","Natalie Dawn",0,0,2,1291593600,"Bitter with no vanilla taste","Smells great... too bad it didn't taste good too. I tasted no vanilla, and the coffee itself was very bitter for a medium roast. I wouldn't buy this product myself as I like to have FLAVOR in my flavored coffee and I don't think this had any. Overall, it was a disappointment.","Negative"
147156,"B001EQ4Y4W","A3NMK252YWZ998","Eric",8,12,1,1279324800,"MSG!!! So bad the FDA stopped them!","This fact was acknowledged by the FDA in the ""FDA Backgrounder"" dated August 31, 1995.<br /><br />Under Section 403 of the Federal Food, Drug, and Cosmetic Act it is deceptive and misleading to say ""No MSG"" or ""No MSG added"" on a processed food label that contains free glutamic acid. It is for this reason that the FDA forced Live Products, manufacturer of Bragg Liquid Aminos, to remove the words ""No MSG"" from the product's label.""","Negative"
530361,"B004N5KIV4","AMWN4UGD6BQPA","Y. Y. Chang ""CSUF""",0,0,1,1334275200,"no taste at all","Bought diff flavors while the local store had them on sale. This is the first time I tried Plum's brand. I only opened the yellow one and the purple one. The yellow one is supposed to be banana and peach... Tastes like nothing but just rice waffle in star shapes. No banana or peach flavor or smell. I understand it is supposed to be organic but ORGANIC doesn't have to be tasteless. The purple one which is supposed to be purple potato and blueberry, which tastes like cough syrup. I drank water and still had the weird taste in my mouth. So disappointed. Will return the unopened one back to the store and try other brands instead.","Negative"
